#       xJ          yJ
#  
  1.239300   0.965370
  1.239550   0.964740
  1.239800   0.965685
  1.240050   0.966420
  1.240300   0.965370
  1.240550   0.965370
  1.240800   0.965580
  1.241050   0.962955
  1.241300   0.960435
  1.241550   0.961695
  1.241800   0.964320
  1.242050   0.966105
  1.242300   0.968205
  1.242550   0.968310
  1.242800   0.966105
  1.243050   0.965055
  1.243300   0.965055
  1.243550   0.964530
  1.243800   0.962745
  1.244050   0.961065
  1.244300   0.960435
  1.244550   0.961275
  1.244800   0.962430
  1.245050   0.960645
  1.245300   0.956760
  1.245550   0.955185
  1.245800   0.956340
  1.246050   0.956970
  1.246300   0.956550
  1.246550   0.956340
  1.246800   0.954240
  1.247050   0.951615
  1.247300   0.951090
  1.247550   0.949725
  1.247800   0.945945
  1.248050   0.943110
  1.248300   0.941430
  1.248550   0.937860
  1.248800   0.933450
  1.249050   0.931350
  1.249300   0.930615
  1.249550   0.930615
  1.249800   0.930720
  1.250050   0.928200
  1.250300   0.924315
  1.250550   0.921480
  1.250800   0.918855
  1.251050   0.915810
  1.251300   0.913815
  1.251550   0.912765
  1.251800   0.911505
  1.252050   0.911610
  1.252300   0.913185
  1.252550   0.912765
  1.252800   0.910560
  1.253050   0.907725
  1.253300   0.903945
  1.253550   0.899640
  1.253800   0.895335
  1.254050   0.892290
  1.254300   0.889980
  1.254550   0.887145
  1.254800   0.884310
  1.255050   0.883680
  1.255300   0.883890
  1.255550   0.885675
  1.255800   0.889350
  1.256050   0.891765
  1.256300   0.890715
  1.256550   0.885885
  1.256800   0.881475
  1.257050   0.880845
  1.257300   0.882420
  1.257550   0.886200
  1.257800   0.890085
  1.258050   0.892290
  1.258300   0.894495
  1.258550   0.895755
  1.258800   0.895335
  1.259050   0.894390
  1.259300   0.893760
  1.259550   0.892815
  1.259800   0.891450
  1.260050   0.891660
  1.260300   0.891555
  1.260550   0.888930
  1.260800   0.886830
  1.261050   0.885885
  1.261300   0.884835
  1.261550   0.884835
  1.261800   0.887145
  1.262050   0.889035
